iter	Logloss
0	0.6854663115
1	0.6782126042
2	0.6713438525
3	0.6640120604
4	0.6573023253
5	0.6497026744
6	0.6436217779
7	0.6375223042
8	0.6316038119
9	0.6242761021
10	0.618491935
11	0.611939747
12	0.6063923964
13	0.6009574323
14	0.5950352522
15	0.5898537802
16	0.5839332657
17	0.5789088021
18	0.573630798
19	0.5670109702
20	0.5617516707
21	0.5575453346
22	0.5516790939
23	0.5450912041
24	0.5401212007
25	0.5349454939
26	0.5300895463
27	0.5263618278
28	0.5210592854
29	0.5158307773
30	0.5116208055
31	0.5075997005
32	0.5034481101
33	0.4997875156
34	0.4953682547
35	0.4906224324
36	0.4856107647
37	0.4820017457
38	0.4778536313
39	0.4743261993
40	0.4708341898
41	0.4665951895
42	0.4626073483
43	0.4591605339
44	0.4549216444
45	0.4509306368
46	0.4459008755
47	0.4425900862
48	0.438581946
49	0.4342604837
50	0.431460835
51	0.4271800264
52	0.4243429536
53	0.4208702128
54	0.4179883981
55	0.4149842488
56	0.4116902341
57	0.4082620472
58	0.4046164301
59	0.4013855708
60	0.3989487338
61	0.3958130451
62	0.3919578906
63	0.3884872463
64	0.3859909989
65	0.3830364013
66	0.3804377021
67	0.3776957915
68	0.3755158714
69	0.3722515301
70	0.3688084956
71	0.365613682
72	0.362324004
73	0.3597878326
74	0.3565006584
75	0.3536060857
76	0.3510801387
77	0.3481683517
78	0.3465311366
79	0.3441082325
80	0.34130822
81	0.3389045768
82	0.3364646701
83	0.3338428273
84	0.3320305747
85	0.3294395775
86	0.327195109
87	0.3251678656
88	0.3228748986
89	0.3206012852
90	0.3184747543
91	0.3159852834
92	0.3136402924
93	0.311946648
94	0.3104199927
95	0.3084445775
96	0.3064608919
97	0.3040709291
98	0.30213575
99	0.2995270465
100	0.297366329
101	0.2955047239
102	0.2938121527
103	0.2917453799
104	0.2895275263
105	0.2875394887
106	0.2860363993
107	0.2839609639
108	0.282154693
109	0.280400848
110	0.2787167664
111	0.2771032304
112	0.2753582947
113	0.2739021637
114	0.2725499801
115	0.2706730221
116	0.2689177166
117	0.267293466
118	0.2655474978
119	0.2640699167
120	0.2623533314
121	0.2610747404
122	0.259533973
123	0.2583409443
124	0.2566042837
125	0.2554204462
126	0.2541405716
127	0.2528380241
128	0.2513048318
129	0.2503780791
130	0.2486917421
131	0.2470811884
132	0.2457891725
133	0.2444690404
134	0.2433948341
135	0.2418599447
136	0.240378175
137	0.2391990524
138	0.2373714673
139	0.2364153524
140	0.2347645816
141	0.2336626402
142	0.2326956374
143	0.2315661276
144	0.2304842932
145	0.2289868054
146	0.2277767582
147	0.2265941698
148	0.2255025784
149	0.2242843972
150	0.2230425741
151	0.2219106458
152	0.2203402352
153	0.2194512446
154	0.2183004943
155	0.2165811495
156	0.2158689111
157	0.2145073941
158	0.2132440556
159	0.2123956735
160	0.2110103362
161	0.2097999032
162	0.2087090765
163	0.2072575799
164	0.2062062793
165	0.2055639561
166	0.2042040841
167	0.2032396814
168	0.2023367043
169	0.2016466519
170	0.2010719674
171	0.1999249685
172	0.1991330919
173	0.1976720209
174	0.1968261603
175	0.1959313983
176	0.1951103231
177	0.1945383557
178	0.1935144221
179	0.1925687311
180	0.1916614006
181	0.1908774399
182	0.1901111485
183	0.1893280238
184	0.1884442194
185	0.1877474663
186	0.1867467985
187	0.1860339298
188	0.1855979611
189	0.1849327314
190	0.1840921187
191	0.1829573578
192	0.1819735929
193	0.1812023163
194	0.1806372748
195	0.1798421341
196	0.1792442807
197	0.1783799906
198	0.1776364013
199	0.1766001532
200	0.1758186547
201	0.1748233174
202	0.1743492126
203	0.1734912531
204	0.1727760178
205	0.1719376576
206	0.1711850828
207	0.170621782
208	0.1696199135
209	0.1685171899
210	0.1679013961
211	0.1674788268
212	0.1667994659
213	0.1663514644
214	0.1658674706
215	0.1650292236
216	0.1643727201
217	0.1637031019
218	0.163268994
219	0.1621761105
220	0.1615284247
221	0.1610828753
222	0.1606431322
223	0.1599797238
224	0.1595098375
225	0.1588317091
226	0.1583370969
227	0.1576007221
228	0.1567887994
229	0.1562999526
230	0.1558075869
231	0.1549599989
232	0.1546510383
233	0.1538658405
234	0.1531156465
235	0.1526825123
236	0.1522690072
237	0.1517826096
238	0.1513075004
239	0.1507341736
240	0.1500968703
241	0.1496879131
242	0.1490280607
243	0.1486173707
244	0.1479370283
245	0.1475140136
246	0.146858562
247	0.1464665851
248	0.1460888649
249	0.1455672394
250	0.1450385193
251	0.1444775851
252	0.1441297979
253	0.1438162384
254	0.1434286583
255	0.1428301634
256	0.1421844502
257	0.1418277398
258	0.1412732915
259	0.14082784
260	0.1403765928
261	0.1400526559
262	0.1393429759
263	0.1386595308
264	0.1380773572
265	0.137683014
266	0.1374106445
267	0.1369757524
268	0.1365530084
269	0.1361825767
270	0.1355775114
271	0.1352757558
272	0.1349609151
273	0.1343405927
274	0.1340570819
275	0.1335567999
276	0.1330780526
277	0.1328612844
278	0.1324279357
279	0.1320954295
280	0.13145726
281	0.1311149133
282	0.1308031949
283	0.1303552744
284	0.1299606812
285	0.1296849544
286	0.1291703694
287	0.1287220377
288	0.1283652487
289	0.1278028998
290	0.1274227719
291	0.1270500328
292	0.1266601155
293	0.1261726147
294	0.1259698111
295	0.1255894114
296	0.1253786075
297	0.1247944068
298	0.1245193581
299	0.1241017919
300	0.1236543788
301	0.1234261818
302	0.123087252
303	0.1224574086
304	0.1218612461
305	0.121456815
306	0.1212295275
307	0.121074595
308	0.1208073998
309	0.1204226232
310	0.1200856138
311	0.1197276528
312	0.1193282376
313	0.1190756987
314	0.1185821244
315	0.1180800515
316	0.1177970812
317	0.1175511293
318	0.1173001847
319	0.1171174668
320	0.1168439861
321	0.1163782677
322	0.1159145703
323	0.1155618199
324	0.1151978361
325	0.1149949115
326	0.1147120964
327	0.1143352304
328	0.1141078925
329	0.1137601678
330	0.1135632771
331	0.113116474
332	0.1127730566
333	0.1123429827
334	0.1120751144
335	0.1116616787
336	0.111462515
337	0.1111971115
338	0.1109042388
339	0.1105536636
340	0.1103049735
341	0.1101501496
342	0.1098707353
343	0.1095177135
344	0.1093866241
345	0.1091700031
346	0.1088135573
347	0.1085949924
348	0.1082823157
349	0.1080540471
350	0.1078884477
351	0.1075670774
352	0.1072679843
353	0.1068643158
354	0.1064815786
355	0.1062718402
356	0.1060492569
357	0.1058422309
358	0.1055295835
359	0.1052524899
360	0.1050184927
361	0.104843956
362	0.1046260877
363	0.1043393416
364	0.1039389981
365	0.1037232233
366	0.1035202624
367	0.1033278911
368	0.1030816016
369	0.102839379
370	0.1026372647
371	0.1023450084
372	0.1021404674
373	0.10181815
374	0.1015826018
375	0.1013796991
376	0.1011293725
377	0.1008888218
378	0.1005867186
379	0.1002626292
380	0.1001043764
381	0.09981120334
382	0.09951280835
383	0.09927546213
384	0.09904232474
385	0.09896582297
386	0.09857451094
387	0.09848657735
388	0.09819449081
389	0.09808578653
390	0.09779243285
391	0.09750172989
392	0.09724487886
393	0.09696251689
394	0.09687569757
395	0.09674112312
396	0.09657647787
397	0.09625103445
398	0.09609540065
399	0.09583018998
400	0.09562452519
401	0.09544394948
402	0.0951356359
403	0.09499848695
404	0.09479654804
405	0.09466519305
406	0.09447181843
407	0.09438235267
408	0.09398231964
409	0.09380111745
410	0.09346354196
411	0.09329070804
412	0.09293800082
413	0.09272187429
414	0.09236955014
415	0.09221190744
416	0.09201143044
417	0.09184323611
418	0.09162943701
